"","nsum","nGene"
"394",1683,303
"395",1892,430
"396",2384,597
"397",1890,415
"398",1721,306
"399",1728,353
"400",1666,313
"401",1841,388
"402",1784,342
"403",1658,312
"404",2222,578
"405",1722,421
"406",2285,617
"407",1803,326
"408",1999,416
"409",8121,2199
"410",1791,311
"411",1659,372
"412",1748,375
"413",2041,527
"414",1749,331
"415",2236,615
"416",1847,357
"417",1839,362
"418",1821,330
"419",1664,329
"420",1884,405
"421",2017,535
"422",2276,608
"423",8625,2669
"424",1813,379
"425",1904,474
"426",1642,318
"427",2513,681
"428",8995,2311
"429",1791,361
"430",2092,533
"431",1770,371
"432",1725,349
"433",3105,1005
"434",1700,338
"435",2183,502
"436",2227,478
"437",1746,343
"438",2624,701
"439",2599,725
"440",2107,526
"441",1803,344
"442",1813,430
"443",1753,463
"444",1618,337
"445",2632,571
"446",1874,416
"447",1600,339
"448",1946,417
"449",1725,398
"450",1614,316
"451",5238,1716
"452",1739,381
"453",2224,479
"454",1761,323
"455",1958,438
"456",1790,465
"457",1705,360
"458",1894,442
"459",2687,573
"460",4767,1502
"461",2119,438
"462",2128,594
"463",2144,592
"464",1935,501
"465",1699,434
"466",1781,376
"467",2052,529
"468",2073,387
"469",1678,353
"470",1801,453
"471",2139,635
"472",1729,333
"473",2601,687
"474",1732,351
"475",1693,321
"476",2119,454
"477",2021,590
"478",1816,412
"479",1584,319
"480",1647,374
"481",1530,318
"482",3300,939
"483",1634,386
"484",1782,338
"485",1875,382
"486",2062,539
"487",2470,693
"488",2189,486
"489",1923,586
"490",2006,463
"491",1702,363
"492",2582,790
"493",2239,564
"494",2103,530
"495",1603,326
"496",1603,352
"497",1616,328
"498",1678,310
"499",1603,358
"500",2300,742
"501",1629,366
"502",1770,435
"503",2439,701
"504",1583,367
"505",1503,304
"506",1711,471
"507",1724,387
"508",1526,336
"509",1496,353
"510",1645,374
"511",1978,467
"512",1642,398
"513",1501,323
"514",1736,405
"515",1963,624
"516",2129,615
"517",2011,518
"518",1921,605
"519",2778,676
"520",1766,469
"521",1576,317
"522",2988,1047
"523",2039,625
"524",1558,326
"525",1525,397
"526",1442,304
"527",2143,628
"528",1537,315
"529",1551,330
"530",2315,871
"531",2995,967
"532",1963,481
"533",1735,458
"534",2272,728
"535",1966,563
"536",1666,402
"537",1461,303
"538",1591,307
"539",2172,625
"540",2889,946
"541",1483,333
"542",2073,690
"543",3549,1042
